ETH,BTC
3785986.03743284,255502.15115313
3125760.53546388,176500.99963419
2507764.45338083,111858.24799043
2358939.08867983,94505.76882375
1378754.14465489,89684.30622779
999999.02470426,79957.20155088
801052.79995972,74947.41968966
789534.6211282,69370.13110174
775000.57379629,61301.89790738
675998.95358034,57706.31655599
657334.14268696,53880.05943022
616529.71148462,51830.35715541
585633.60335023,51549.3683578
560000.00003,47852.16643267
537159.88923661,44000.07776066
514911.78677217,40000.32721224
480001.231001,39076.51094836
450000.02066572,37483
392829.77583716,36000.00214776
346594.01890385,33956.65818652
345003.69758007,32095.81648512
330000.769842,31010.01151347
324999.99936407,31000.06893902
321767.814,29400.00012669
319375.85179192,28151.05607479
306276.27236139,26532.31778641
300001.02,25104.59726522
300001.00007,24495.35068
280000.98098317,23969
277684.00565154,23227.61520867
274999.99949831,22967.20145406
273712.29058894,22211.16530965
272288.00411345,21800.00467825
271104.68022607,21584.75305797
254248.45391694,20008.00061382
250000.01704597,20000.00005334
246473.5234612,19721.60193547
243751.62570102,19630.81002627
243094.32630362,19539.92077317
240710.18020379,19414.42987504
215670.16812698,18399.37782275
207881.8214525,18000.00001
201738.08536175,17858.89981393
200000.10703597,16784.91016811
200000.0004,15745.55561581
200000,15499.89068288
200000,15433.99993465
200000,15000.00002964
199580.32171513,14999.99923525
198861.93588802,14999.99842986
197655.83037249,14500.01446963
197570.95525471,14500.00216336
197318.21603866,14000.00045722
197262.32956934,13023.23233496
197208.19367341,12565.08135151
196919.68973512,12000.29043845
196021.97185848,12000.00014042
193912.34221143,12000.00011888
192906.4929124,12000.00001777
188297.68427569,12000.00001777
187253.317614,12000.00001554
187068.19559,12000.00001554
185590.92871945,12000.00001547
180100,12000.00001332
175997.38276793,12000.00001323
169031.99351958,12000.00000777
162414.25334758,12000.00000777
157738.10587866,12000.00000777
155552.8607599,12000.00000777
152336.10113965,12000.00000777
150000.1,12000.00000777
150000,12000
150000,11979.65385561
150000,11927.23973508
150000,11901.53553868
150000,11826.94388139
150000,11809.47558912
150000,11736.99989286
150000,11722.63878686
150000,11660.3160364
150000,11548.93786166
150000,11104.98035918
150000,11102.00042897
150000,11092.35703686
150000,11000.03968241
150000,11000.0001307
150000,10770.52683571
150000,10009.26250916
150000,10005.995566
150000,10001.74087956
150000,10000.98889086
150000,10000.01501835
150000,10000.01149723
150000,10000.01116908
150000,10000.01108006
150000,10000.01040732
150000,10000.01026056
150000,10000.01024307
150000,10000.01024284
150000,10000.00932539
